Epoch: [0][0/2639], lr: 0.02000	Time 31.769 (31.769)	Data 8.773 (8.773)	Loss 5.1634 (5.1634)	Prec@1 1.562 (1.562)	Prec@5 6.250 (6.250)
Epoch: [0][20/2639], lr: 0.02000	Time 0.540 (2.056)	Data 0.000 (0.418)	Loss 5.8493 (6.0980)	Prec@1 1.562 (1.265)	Prec@5 9.375 (5.804)
Epoch: [0][40/2639], lr: 0.02000	Time 0.578 (1.322)	Data 0.000 (0.214)	Loss 5.2184 (5.7715)	Prec@1 4.688 (1.715)	Prec@5 9.375 (6.098)
Epoch: [0][60/2639], lr: 0.02000	Time 0.541 (1.069)	Data 0.000 (0.144)	Loss 5.0827 (5.5453)	Prec@1 4.688 (1.870)	Prec@5 12.500 (6.685)
Epoch: [0][80/2639], lr: 0.02000	Time 0.543 (0.940)	Data 0.000 (0.109)	Loss 4.9830 (5.4178)	Prec@1 0.000 (1.717)	Prec@5 1.562 (6.848)
Epoch: [0][100/2639], lr: 0.02000	Time 0.540 (0.862)	Data 0.000 (0.087)	Loss 4.8891 (5.3377)	Prec@1 1.562 (1.795)	Prec@5 14.062 (7.147)
Epoch: [0][120/2639], lr: 0.02000	Time 0.540 (0.810)	Data 0.000 (0.073)	Loss 5.0877 (5.2858)	Prec@1 0.000 (1.653)	Prec@5 1.562 (7.206)
Epoch: [0][140/2639], lr: 0.02000	Time 0.542 (0.782)	Data 0.000 (0.072)	Loss 5.0093 (5.2477)	Prec@1 3.125 (1.562)	Prec@5 14.062 (7.247)
Epoch: [0][160/2639], lr: 0.02000	Time 0.571 (0.753)	Data 0.000 (0.063)	Loss 4.9662 (5.2145)	Prec@1 1.562 (1.553)	Prec@5 7.812 (7.327)
Epoch: [0][180/2639], lr: 0.02000	Time 0.541 (0.733)	Data 0.000 (0.059)	Loss 4.9605 (5.1895)	Prec@1 6.250 (1.640)	Prec@5 10.938 (7.502)
Epoch: [0][200/2639], lr: 0.02000	Time 4.350 (0.734)	Data 3.791 (0.072)	Loss 4.9301 (5.1675)	Prec@1 6.250 (1.687)	Prec@5 18.750 (7.696)
Epoch: [0][220/2639], lr: 0.02000	Time 0.541 (0.717)	Data 0.000 (0.066)	Loss 4.8948 (5.1488)	Prec@1 1.562 (1.718)	Prec@5 18.750 (7.706)
Epoch: [0][240/2639], lr: 0.02000	Time 0.541 (0.704)	Data 0.000 (0.060)	Loss 5.0120 (5.1327)	Prec@1 3.125 (1.757)	Prec@5 6.250 (7.851)
Epoch: [0][260/2639], lr: 0.02000	Time 0.541 (0.692)	Data 0.000 (0.056)	Loss 4.8163 (5.1181)	Prec@1 1.562 (1.784)	Prec@5 7.812 (7.872)
Epoch: [0][280/2639], lr: 0.02000	Time 0.542 (0.685)	Data 0.000 (0.055)	Loss 4.9627 (5.1086)	Prec@1 1.562 (1.785)	Prec@5 4.688 (7.890)
Epoch: [0][300/2639], lr: 0.02000	Time 0.571 (0.676)	Data 0.000 (0.051)	Loss 4.9436 (5.0970)	Prec@1 0.000 (1.822)	Prec@5 4.688 (7.973)
Epoch: [0][320/2639], lr: 0.02000	Time 0.541 (0.668)	Data 0.000 (0.048)	Loss 4.7973 (5.0864)	Prec@1 1.562 (1.825)	Prec@5 14.062 (8.027)
Epoch: [0][340/2639], lr: 0.02000	Time 0.540 (0.661)	Data 0.000 (0.045)	Loss 4.8889 (5.0779)	Prec@1 3.125 (1.920)	Prec@5 7.812 (8.120)
Epoch: [0][360/2639], lr: 0.02000	Time 0.576 (0.655)	Data 0.000 (0.043)	Loss 4.9987 (5.0690)	Prec@1 1.562 (1.943)	Prec@5 7.812 (8.245)
Epoch: [0][380/2639], lr: 0.02000	Time 0.540 (0.650)	Data 0.000 (0.040)	Loss 4.8653 (5.0621)	Prec@1 3.125 (1.952)	Prec@5 14.062 (8.325)
Epoch: [0][400/2639], lr: 0.02000	Time 0.542 (0.645)	Data 0.000 (0.038)	Loss 4.9495 (5.0540)	Prec@1 1.562 (1.952)	Prec@5 3.125 (8.428)
Epoch: [0][420/2639], lr: 0.02000	Time 0.600 (0.640)	Data 0.000 (0.037)	Loss 4.7706 (5.0470)	Prec@1 1.562 (1.974)	Prec@5 10.938 (8.544)
Epoch: [0][440/2639], lr: 0.02000	Time 0.543 (0.636)	Data 0.000 (0.035)	Loss 4.9664 (5.0398)	Prec@1 1.562 (1.988)	Prec@5 10.938 (8.652)
Epoch: [0][460/2639], lr: 0.02000	Time 0.543 (0.633)	Data 0.000 (0.033)	Loss 4.9887 (5.0323)	Prec@1 3.125 (2.003)	Prec@5 12.500 (8.765)
Epoch: [0][480/2639], lr: 0.02000	Time 0.542 (0.629)	Data 0.000 (0.032)	Loss 4.9015 (5.0262)	Prec@1 3.125 (2.050)	Prec@5 9.375 (8.868)
Epoch: [0][500/2639], lr: 0.02000	Time 0.545 (0.626)	Data 0.000 (0.031)	Loss 4.8431 (5.0195)	Prec@1 1.562 (2.071)	Prec@5 6.250 (8.998)
Epoch: [0][520/2639], lr: 0.02000	Time 0.544 (0.623)	Data 0.000 (0.030)	Loss 4.8814 (5.0136)	Prec@1 3.125 (2.120)	Prec@5 10.938 (9.105)
Epoch: [0][540/2639], lr: 0.02000	Time 0.541 (0.620)	Data 0.000 (0.028)	Loss 4.8275 (5.0082)	Prec@1 1.562 (2.129)	Prec@5 9.375 (9.144)
